,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
943,OGLE-2015-BLG-1771L b,,,,1.28,0.433,,,2.8160000000000003,,,,7070.0,,,False,nexsci
619,HD 81040 b,,,,1.13,7.27,226.0,190.0,4.15,1001.7,,6.2,34.43,5755.0,4.54,False,nexsci
685,HR 810 b,,,,1.19,2.27,392.0,330.0,3.5989999999999998,302.8,,4.1,17.32,6167.0,4.46,False,nexsci
775,NGC 4349 127 b,,,,1.14,5.9,,,4.051,677.8,,7.1,2200.0,4445.0,1.64,False,nexsci
469,HD 220773 b,,,,1.21,1.45,199.0,167.0,3.39,3724.7,,5.7,50.51,5940.0,4.24,False,nexsci
725,OGLE-2017-BLG-0482L b,,,,0.26,0.027999999999999997,,,3.0010000000000003,,,,5800.0,,,False,nexsci
403,HD 18742 b,,,,1.17,3.4,476.0,400.0,3.7889999999999997,766.0,,5.6,162.69,4940.0,3.09,False,nexsci
178,GJ 3998 c,,,,0.21,0.0197,501.0,421.0,3.036,13.74,,6.8,18.15,3722.0,4.77,False,nexsci
740,nu Oph c,,,,1.07,24.662,440.0,370.0,4.727,3184.83,,1.2,46.21,4886.0,2.56,False,nexsci
82,CoRoT-7 c,,,,0.25,0.026430000000000002,1303.0,1096.0,3.01,3.698,,9.8,159.91,5256.0,4.52,False,nexsci
483,HD 240210 b,,,,1.14,5.21,1154.0,971.0,3.997,501.75,,4.4,372.4,4297.0,2.31,False,nexsci
134,75 Cet b,,,,1.17,3.0,621.0,523.0,3.735,691.9,,3.2,82.96,4846.0,2.63,False,nexsci
519,HD 60532 b,,,,1.23,1.06,654.0,550.0,3.24,201.9,,3.4,25.97,6245.0,3.8,False,nexsci
661,HD 99492 b,,,,0.45,0.07,726.0,611.0,2.937,17.0431,,5.3,18.2,4815.0,4.28,False,nexsci
439,HD 211810 b,,,,1.25,0.67,211.0,178.0,3.0260000000000002,1558.0,,7.0,64.64,5652.0,4.26,False,nexsci
1080,HD 211403 b,,,,1.14,5.54,452.0,380.0,4.024,223.8,,7.2,83.09,6273.0,4.3,False,nexsci
471,HD 222155 b,,,,1.19,2.12,196.0,165.0,3.569,3999.0,,5.5,50.61,5701.0,3.99,False,nexsci
100,MOA-2016-BLG-227L b,,,,1.18,2.8,,,3.698,,,,6500.0,,,False,nexsci
233,HD 10442 b,,,,1.21,1.4869999999999999,279.0,234.0,3.4010000000000002,1032.3,,5.6,135.37,4912.0,3.19,False,nexsci
334,HD 155358 b,,,,1.23,0.99,501.0,421.0,3.21,194.3,,5.8,43.62,5905.0,4.22,False,nexsci
769,MOA-2011-BLG-262L b,,,,0.38,0.053,,,2.952,,,,7200.0,,,False,nexsci
644,HD 93083 b,,,,1.2,0.37,382.0,322.0,2.804,143.58,,6.1,28.52,4995.0,4.26,False,nexsci
554,HD 45364 b,,,,0.8,0.1872,356.0,299.0,2.86,226.93,,6.3,34.35,5434.0,4.38,False,nexsci
888,HD 20781 d,,,,0.29,0.0334,677.0,569.0,2.9930000000000003,29.158,,6.6,35.97,5256.0,4.37,False,nexsci
157,GJ 3323 c,,,,0.12,0.00727,177.0,148.0,3.112,40.54,,6.7,5.37,3159.0,,False,nexsci
33,11 Com b,,,,1.08,19.4,1044.0,878.0,4.615,326.03,,2.3,93.18,4742.0,2.31,False,nexsci
772,MOA-2007-BLG-400L b,,,,1.24,0.83,,103.0,3.1260000000000003,,,,5800.0,,,False,nexsci
821,WASP-41 c,,,,1.17,3.18,287.0,241.0,3.76,421.0,,9.7,163.37,5545.0,4.53,False,nexsci
748,MOA-2013-BLG-605L b,,,,0.14,0.0102,,,3.0860000000000003,,,,850.0,,,False,nexsci
902,OGLE-2018-BLG-0596L b,,,,0.34,0.04383,,,2.9730000000000003,,,,5650.0,,,False,nexsci
1021,HIP 4845 b,,,,0.35,0.04531,425.0,357.0,2.97,34.15,,6.5,21.1,4010.0,4.62,False,nexsci
681,HIP 79431 b,,,,1.19,2.1,211.0,178.0,3.565,111.7,,6.6,14.53,3191.0,4.76,False,nexsci
716,tau Boo b,,,,1.14,5.95,2003.0,1684.0,4.055,3.3125,,3.5,15.65,6466.0,4.25,False,nexsci
84,FU Tau b,,,,1.09,16.0,,2375.0,4.523,,,9.3,133.5,2838.0,,False,nexsci
305,HD 142245 b,,,,1.17,3.07,364.0,306.0,3.745,1299.0,,5.1,97.23,4922.0,3.65,False,nexsci
1084,GJ 393 b,,,,0.1,0.005379999999999999,579.0,487.0,3.091,7.0268,,5.3,7.03,3579.0,4.88,False,nexsci
509,HD 32963 b,,,,1.25,0.7,187.0,158.0,3.045,2372.0,,6.0,38.08,5727.0,4.41,False,nexsci
774,NGC 2682 Sand 364 b,,,,1.13,6.69,2123.0,1785.0,4.113,121.71,,6.7,817.19,4284.0,2.2,False,nexsci
814,UZ For b,,,,,6.3,,,,5840.0,,14.8,239.6,5287.0,,False,nexsci
318,HD 150706 b,,,,1.18,2.71,129.0,109.0,3.6830000000000003,5894.0,,5.6,28.27,5961.0,4.5,False,nexsci
274,HD 125612 c,,,,0.39,0.055,1499.0,1261.0,2.955,4.1551,,6.8,57.62,5841.0,4.41,False,nexsci
345,HD 159868 b,,,,1.19,2.218,304.0,256.0,3.589,1184.1,,5.5,55.85,5534.0,3.92,False,nexsci
27,HD 141399 c,,,,1.22,1.33,456.0,384.0,3.345,201.99,,5.5,37.02,5600.0,4.28,False,nexsci
155,CFBDSIR J145829+101343 b,,,,1.11,10.5,,370.0,4.325,10037.5,,,23.1,581.0,4.72,False,nexsci
806,tau Cet h,,,,0.11,0.00576,563.0,473.0,3.1039999999999996,49.41,,1.8,3.6,5310.0,4.52,False,nexsci
548,HD 42618 b,,,,0.35,0.04531,441.0,371.0,2.97,149.61,,5.3,24.34,5727.0,4.44,False,nexsci
852,Gl 378 b,,,,0.33,0.04097,838.0,705.0,2.978,3.822,,6.2,14.95,3879.0,4.69,False,nexsci
584,HD 67087 b,,,,1.17,3.06,435.0,366.0,3.7439999999999998,352.2,,6.9,76.52,6330.0,4.19,False,nexsci
866,MOA-2011-BLG-291L b,,,,0.4,0.057,,,2.955,,,23.4,4400.0,,,False,nexsci
641,HD 9174 b,,,,1.23,1.11,279.0,234.0,3.26,1179.0,,6.7,81.49,5577.0,4.03,False,nexsci
594,HD 7199 b,,,,0.99,0.27,260.0,219.0,2.832,615.0,,6.2,36.15,5371.0,4.35,False,nexsci
196,GJ 86 b,,,,1.15,4.42,786.0,661.0,3.918,15.7649,,4.1,10.78,5182.0,4.63,False,nexsci
437,HD 208897 b,,,,1.21,1.4,607.0,510.0,3.375,352.7,,4.2,67.49,4860.0,3.13,False,nexsci
350,HD 160691 c,,,,1.2,1.814,171.0,144.0,3.4939999999999998,4205.8,,3.7,15.6,5807.0,4.37,False,nexsci
77,GJ 273 b,,,,0.14,0.00909,346.0,291.0,3.092,18.6498,,4.9,5.92,3382.0,4.91,False,nexsci
537,HD 38529 c,,,,1.1,12.99,266.0,224.0,4.425,2136.1,,4.2,42.35,5541.0,3.77,False,nexsci
244,HD 108874 c,,,,1.23,0.99,204.0,171.0,3.21,1624.0,,7.1,59.52,5551.0,4.36,False,nexsci
181,GJ 536 b,,,,0.19,0.01686,579.0,487.0,3.045,8.7076,,5.7,10.41,3685.0,4.75,False,nexsci
307,HD 143105 b,,,,1.22,1.21,2414.0,2030.0,3.304,2.1974,,5.5,46.78,6380.0,4.37,False,nexsci
176,GJ 3942 b,,,,0.23,0.02246,702.0,591.0,3.0260000000000002,6.905,,6.3,16.93,3867.0,4.65,False,nexsci
129,61 Vir b,,,,0.19,0.016,1399.0,1176.0,3.05,4.215,,3.0,8.5,5577.0,4.34,False,nexsci
232,HD 104067 b,,,,0.73,0.16,478.0,402.0,2.873,55.806000000000004,,5.6,20.36,4937.0,4.49,False,nexsci
730,OGLE-2012-BLG-0026L c,,,,1.24,0.86,,,3.142,,,,4019.0,,,False,nexsci
1017,HIP 48714 b,,,,0.46,0.07205,533.0,448.0,2.9339999999999997,17.817999999999998,,5.2,10.53,4016.0,4.66,False,nexsci
960,PSR B0329+54 b,,,,0.11,0.0062,,,3.112,10140.0,,15.6,504.93,,,False,nexsci
715,Oph 11 b,,,,1.1,14.0,4.0,4.0,4.458,7300000.0,,13.4,136.17,2375.0,4.25,False,nexsci
1064,BD-00 4475 b,,,,1.07,25.05,218.0,183.0,4.734,723.2,,7.0,42.64,5040.0,4.25,False,nexsci
938,GJ 15 A b,,,,0.14,0.00953,475.0,400.0,3.0869999999999997,11.4407,,4.0,3.56,3607.0,4.87,False,nexsci
