,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
2956,WASP-22 b,0.138,0.125,0.114,1.23,0.67,1767.0,1486.0,3.04,3.5327,3.4802,10.3,317.65,6000.0,4.5,True,nexsci
2959,WASP-26 b,0.228,0.16,0.106,1.21,0.85,1911.0,1607.0,3.158,2.7566,2.383,9.7,252.76,6034.0,4.44,True,nexsci
2688,Kepler-871 b,0.0,0.0,0.005,0.33,0.0424,925.0,778.0,2.9739999999999998,22.0459,5.22,14.2,1976.05,5993.0,4.37,True,nexsci
2948,WASP-23 b,0.040999999999999995,0.10099999999999999,0.063,0.96,0.884,1336.0,1124.0,3.3739999999999997,2.9444,2.3942,10.4,207.49,5150.0,4.2,True,nexsci
1880,Kepler-32 d,0.0,0.0,0.01,0.24,0.0244,452.0,380.0,3.0180000000000002,22.7802,3.3002,12.8,323.85,3900.0,4.64,True,nexsci
3512,Kepler-1889 b,0.0,0.0,0.006999999999999999,0.26,0.0282,643.0,540.0,3.005,37.3037,7.792999999999999,13.7,1395.13,5646.0,4.55,True,nexsci
1856,Kepler-320 c,0.0,0.0,0.004,0.12,0.00771,1032.0,868.0,3.109,17.9349,6.25,12.3,826.61,6435.0,4.42,True,nexsci
244,K2-191 b,,,,0.14,0.00981,,,3.0869999999999997,2.8586,2.2319999999999998,11.1,287.19,5176.0,4.57,True,nexsci
1132,Kepler-1454 b,0.0,0.0,0.004,0.17,0.0132,586.0,493.0,3.0639999999999996,47.0319,5.906000000000001,13.2,780.57,5448.0,4.53,True,nexsci
3521,Kepler-1757 b,0.0,0.0,0.006,0.26,0.0283,714.0,600.0,3.0060000000000002,19.6564,2.57,13.5,807.31,5288.0,4.61,True,nexsci
3429,K2-345 b,,,,0.19,0.016,,437.0,3.05,10.3674,2.08,11.5,162.41,3779.0,4.74,True,nexsci
3313,Kepler-1686 b,0.0,0.0,0.003,0.13,0.00825,1220.0,1026.0,3.103,9.3099,3.455,12.3,729.82,5715.0,4.29,True,nexsci
1090,Kepler-141 c,0.0,0.001,0.008,0.13,0.00809,967.0,813.0,3.1010000000000004,7.0106,2.986,11.4,301.18,4910.0,4.57,True,nexsci
