,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
2014,Kepler-37 e,,,,,9e-05,536.0,451.0,,51.196000000000005,,7.9,63.92,5288.0,4.61,True,nexsci
2338,Kepler-600 b,0.0,0.0,0.009000000000000001,0.26,0.0275,695.0,585.0,3.0069999999999997,23.6752,4.612,12.8,619.72,5279.0,4.56,True,nexsci
1071,Kepler-1405 b,0.0,0.0,0.005,0.35,0.0467,834.0,701.0,2.968,28.2274,5.648,14.2,1530.3,5925.0,4.4,True,nexsci
3041,XO-3 b,0.41600000000000004,0.233,0.021,1.41,7.29,2097.0,1763.0,3.9589999999999996,3.1915,2.5032,8.8,213.05,6429.0,3.95,True,nexsci
2825,Kepler-987 b,0.0,0.0,0.005,0.29,0.0336,474.0,398.0,2.9930000000000003,105.3033,6.12,13.4,914.13,5637.0,4.51,True,nexsci
769,Kepler-1179 b,0.0,0.0,0.004,0.12,0.007240000000000001,1446.0,1216.0,3.11,2.6851,1.0229,12.2,415.2,5212.0,4.56,True,nexsci
1963,Kepler-359 c,0.0,0.0,0.02,0.38,0.00912,675.0,568.0,2.186,57.688,4.1610000000000005,14.5,1443.21,6248.0,4.43,True,nexsci
1762,Kepler-288 d,0.0,0.0,0.003,0.24,0.0239,661.0,556.0,3.0189999999999997,56.6337,6.039,13.6,1194.15,5918.0,4.35,True,nexsci
3042,XO-4 b,,,,1.25,1.42,1879.0,1580.0,3.353,4.1251,,9.4,272.65,6397.0,4.18,True,nexsci
1836,Kepler-312 c,0.0,0.001,0.006999999999999999,0.28,0.0317,1087.0,914.0,2.998,19.7474,3.4115,11.6,797.72,6115.0,4.19,True,nexsci
880,Kepler-1260 b,0.0,0.0,0.004,0.16,0.0119,935.0,786.0,3.072,19.1188,6.872999999999999,13.2,1734.43,5961.0,4.39,True,nexsci
1623,Kepler-23 c,0.0,0.001,0.0,0.28,2.7,1294.0,1088.0,4.916,10.7421,6.0633,12.0,835.76,5760.0,4.0,True,nexsci
1694,Kepler-264 c,0.0,0.0,0.006999999999999999,0.25,0.0264,584.0,491.0,3.013,140.1013,17.933,11.6,942.17,6158.0,4.15,True,nexsci
2610,Kepler-814 b,0.0,0.0,0.003,0.19,0.0162,1480.0,1245.0,3.051,6.147,3.3153,13.4,2055.77,6162.0,4.33,True,nexsci
203,K2-115 b,0.0,0.013000000000000001,0.03,1.08,0.84,805.0,677.0,3.255,20.2726,3.8592,11.7,413.59,5657.0,4.53,True,nexsci
2423,Kepler-663 b,0.0,0.001,0.005,0.23,0.0229,1156.0,972.0,3.023,4.9968,2.1717,13.9,1063.09,5264.0,4.55,True,nexsci
1362,Kepler-162 c,0.0,0.001,0.008,0.27,0.0297,883.0,742.0,3.0039999999999996,19.4464,3.6227,12.7,855.64,5816.0,4.44,True,nexsci
2401,Kepler-645 b,0.001,0.001,0.006,0.19,0.0159,1758.0,1478.0,3.052,3.2758,3.0427,12.6,1173.57,6170.0,4.33,True,nexsci
690,Kepler-1117 b,0.0,0.0,0.004,0.1,0.0044399999999999995,1328.0,1117.0,3.05,4.7903,2.7287,12.5,568.49,5612.0,4.49,True,nexsci
1310,Kepler-158 b,0.0,0.0,0.01,0.19,0.0162,627.0,527.0,3.051,16.7092,2.7052,12.1,315.18,4623.0,4.66,True,nexsci
185,HIP 116454 b,,,,0.22,0.04,823.0,692.0,3.3110000000000004,9.1205,,8.0,62.45,5089.0,4.59,True,nexsci
2783,Kepler-952 b,0.0,0.0,0.011000000000000001,0.68,0.14300000000000002,454.0,382.0,2.8819999999999997,130.3547,6.382000000000001,13.7,1304.25,5730.0,4.45,True,nexsci
709,Kepler-1131 b,0.0,0.0,0.003,0.14,0.00993,1597.0,1343.0,3.0869999999999997,3.5323,2.8072,13.4,1030.7,5851.0,4.42,True,nexsci
440,K2-3 d,0.0,0.0,0.028999999999999998,0.14,0.00881,365.0,307.0,3.072,44.5565,4.17,8.6,44.07,3896.0,4.73,True,nexsci
789,Kepler-1197 b,0.0,0.0,0.004,0.11,0.0066,1362.0,1145.0,3.115,2.0323,1.1214,12.8,486.94,4708.0,4.62,True,nexsci
791,Kepler-1199 b,0.0,0.0,0.004,0.1,0.00505,1076.0,905.0,3.072,15.0447,5.819,11.6,563.49,5889.0,4.27,True,nexsci
1868,Kepler-326 b,0.001,0.001,0.001,0.14,0.14,1464.0,1231.0,4.273,2.2483,1.9958,11.7,487.68,5105.0,4.56,True,nexsci
2946,WASP-172 b,0.22,0.132,0.226,1.57,0.47,2076.0,1746.0,2.675,5.4774,5.2944,10.1,538.11,6900.0,4.05,True,nexsci
1709,Kepler-26 c,0.0,0.0,0.013000000000000001,0.24,0.01951,489.0,412.0,2.9130000000000003,17.2559,2.0371,12.6,335.31,3914.0,4.68,True,nexsci
2931,WASP-142 b,0.256,0.1,0.07,1.53,0.84,2369.0,1992.0,2.949,2.0529,2.6808,11.4,730.93,6010.0,4.13,True,nexsci
2449,Kepler-687 b,0.0,0.0,0.01,0.31,0.0383,651.0,548.0,2.984,20.5059,4.0602,13.2,633.66,4841.0,4.6,True,nexsci
2155,Kepler-463 b,0.0,0.002,0.016,0.27,0.03,1103.0,927.0,3.002,8.981,1.8478,11.2,394.8,5661.0,4.47,True,nexsci
61,GJ 1214 b,0.0,0.027999999999999997,0.32899999999999996,0.24,0.025710000000000004,700.0,588.0,3.0260000000000002,1.5804,0.8688,8.8,14.64,3250.0,5.03,True,nexsci
2102,Kepler-425 b,0.008,0.025,0.06,0.98,0.25,1276.0,1073.0,2.8110000000000004,3.7969999999999997,2.353,12.8,646.65,5170.0,4.54,True,nexsci
143,HATS-28 b,0.037000000000000005,0.06,0.057999999999999996,1.19,0.672,1488.0,1251.0,3.068,3.1811,2.3544,12.1,535.38,5498.0,4.48,True,nexsci
1331,Kepler-1604 b,0.006,0.002,0.006999999999999999,0.13,0.00809,2637.0,2217.0,3.1010000000000004,0.6837,0.9993,12.8,541.19,4976.0,4.59,True,nexsci
3057,HATS-59 b,0.013999999999999999,0.036000000000000004,0.033,1.13,0.8059999999999999,1341.0,1128.0,3.197,5.4161,3.5928,12.2,642.88,5670.0,4.42,True,nexsci
3515,Kepler-324 e,0.0,0.0,0.004,0.18,0.0151,828.0,696.0,3.053,13.9794,1.2325,12.3,501.57,5191.0,4.53,True,nexsci
251,K2-140 b,0.019,0.065,0.059000000000000004,1.21,0.93,1264.0,1063.0,3.197,6.5692,3.81,11.0,347.92,5585.0,4.4,True,nexsci
2079,Kepler-407 b,0.004,0.001,0.004,0.1,0.01007,2585.0,2174.0,3.4419999999999997,0.6693,1.6015,10.9,338.37,5476.0,4.43,True,nexsci
1458,Kepler-186 c,0.0,0.0,0.011000000000000001,0.11,0.0066,701.0,590.0,3.115,7.2673,2.2691,11.6,177.59,3788.0,4.77,True,nexsci
3128,TOI-1685 b,0.006999999999999999,0.013000000000000001,0.059000000000000004,0.15,0.011890000000000001,1282.0,1078.0,3.1060000000000003,0.6691,0.9126,8.8,37.62,3434.0,4.85,True,nexsci
3334,Kepler-598 c,0.0,0.0,0.006,0.27,0.0296,477.0,401.0,3.003,86.4945,7.284,12.9,681.09,5245.0,4.48,True,nexsci
1842,Kepler-315 c,0.0,0.0,0.005,0.37,0.0506,381.0,320.0,2.9619999999999997,265.4693,9.443,13.6,1160.63,5796.0,4.38,True,nexsci
1447,Kepler-181 c,0.0,0.001,0.006999999999999999,0.18,0.0145,1196.0,1006.0,3.055,4.3021,1.9687,12.9,609.28,5333.0,4.62,True,nexsci
2205,Kepler-500 b,0.0,0.001,0.008,0.23,0.0226,1192.0,1002.0,3.025,8.5083,3.5033,12.6,807.48,5813.0,4.42,True,nexsci
3504,Kepler-1831 b,0.0,0.0,0.003,0.18,0.0143,1365.0,1148.0,3.0589999999999997,5.7839,1.3966,13.5,1053.49,6063.0,4.48,True,nexsci
2478,Kepler-711 b,0.0,0.001,0.01,0.3,0.0363,709.0,596.0,2.988,23.5891,4.7592,13.1,624.58,5222.0,4.56,True,nexsci
556,Kepler-1019 b,0.001,0.002,0.013000000000000001,0.13,0.00859,1400.0,1177.0,3.1,1.4112,1.3912,11.0,194.18,4433.0,4.64,True,nexsci
682,Kepler-110 c,0.0,0.0,0.006,0.2,0.0174,824.0,693.0,3.0460000000000003,31.7198,4.8194,11.6,586.53,5960.0,4.33,True,nexsci
3721,Kepler-1791 b,0.0,0.001,0.006999999999999999,0.28,0.0312,1329.0,1118.0,3.0,7.7209,1.5151,12.0,602.22,5887.0,4.29,True,nexsci
961,Kepler-1323 b,0.006,0.001,0.006999999999999999,0.14,0.0092,3029.0,2547.0,3.091,0.9299,1.7428,11.1,465.42,6169.0,4.21,True,nexsci
2530,Kepler-756 b,0.001,0.0,0.004,0.1,0.0045899999999999995,1819.0,1530.0,3.056,1.2249,1.7027,13.5,852.0,5282.0,4.57,True,nexsci
479,K2-72 d,0.0,0.0,0.018000000000000002,0.09,0.00317,495.0,416.0,2.987,7.7602,1.45,11.0,66.43,3360.0,5.05,True,nexsci
