,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
1,GJ 15 A c,,,,0.59,0.11327000000000001,55.0,46.0,2.8989999999999996,7600.0,,4.0,3.56,3607.0,4.87,False,nexsci
246,HD 109749 b,,,,0.99,0.27,1487.0,1251.0,2.832,5.2399,,6.7,63.08,5824.0,4.31,False,nexsci
397,HD 183263 c,,,,1.16,3.57,183.0,154.0,3.818,3070.0,,6.4,54.2,5867.0,4.24,False,nexsci
266,HD 141399 b,,,,1.28,0.451,588.0,494.0,2.8339999999999996,94.44,,5.5,37.02,5600.0,4.28,False,nexsci
1128,HD 79181 b,,,,1.26,0.64,977.0,822.0,3.0,273.1,,3.5,103.33,4862.0,2.45,False,nexsci
1108,ups Leo b,,,,1.27,0.51,855.0,719.0,2.8939999999999997,385.2,,2.2,52.6,4836.0,2.46,False,nexsci
85,CoRoT-20 c,,,,1.09,17.0,195.0,164.0,4.55,1675.0,,12.5,844.06,4948.0,4.35,False,nexsci
9,2MASS J12073346-3932539 b,,,,1.15,5.0,10.0,9.0,3.972,,,11.9,64.31,2825.0,5.03,False,nexsci
1090,HIP 86221 b,,,,1.25,0.71,,,3.052,2.224,,6.3,29.49,,,False,nexsci
830,WD 0806-661 b,,,,1.13,7.5,,323.0,4.163,,,13.8,19.24,9552.0,,False,nexsci
999,HD 81817 b,,,,1.06,27.1,1196.0,1006.0,4.777,1047.1,,0.8,269.13,4140.0,1.3,False,nexsci
1120,HD 161178 b,,,,1.26,0.57,985.0,828.0,2.949,279.3,,3.7,107.19,4786.0,2.38,False,nexsci
126,55 Cnc f,,,,0.68,0.141,328.0,275.0,2.8819999999999997,259.88,,4.0,12.59,5172.0,4.43,False,nexsci
411,HD 195019 b,,,,1.16,3.98,1072.0,902.0,3.865,18.2013,,5.3,37.67,5751.0,4.18,False,nexsci
805,tau Cet g,,,,0.1,0.00551,761.0,640.0,3.093,20.0,,1.8,3.6,5310.0,4.52,False,nexsci
329,HD 154345 b,,,,1.24,0.82,141.0,118.0,3.1210000000000004,3341.5588,,5.0,18.28,5468.0,4.43,False,nexsci
841,HD 31527 b,,,,0.29,0.0329,988.0,831.0,2.9930000000000003,16.5535,,6.0,38.45,5898.0,4.45,False,nexsci
1033,HD 164922 e,,,,0.29,0.0331,646.0,543.0,2.995,41.763000000000005,,5.1,22.0,5393.0,4.4,False,nexsci
1125,OGLE-2019-BLG-0960L b,,,,0.12,0.00787,,,3.103,,,,980.0,,,False,nexsci
900,KMT-2018-BLG-0029L b,,,,0.24,0.0239,,,3.0189999999999997,,,,3380.0,,,False,nexsci
717,VHS J125601.92-125723.9 b,,,,1.11,11.2,,,4.353,,,10.0,12.7,2620.0,5.05,False,nexsci
566,HD 49674 b,,,,0.55,0.1,1325.0,1114.0,2.909,4.9474,,6.4,43.04,5602.0,4.44,False,nexsci
804,tau Cet f,,,,0.16,0.01237,240.0,202.0,3.073,636.13,,1.8,3.6,5310.0,4.52,False,nexsci
357,HD 16417 b,,,,0.45,0.0696,1146.0,964.0,2.938,17.24,,4.2,25.39,5841.0,4.16,False,nexsci
501,HD 32518 b,,,,1.17,3.04,1093.0,919.0,3.741,157.54,,3.9,122.11,4580.0,2.1,False,nexsci
191,GQ Lup b,,,,3.0,20.0,35.0,29.0,3.741,,,7.1,151.17,4360.0,3.65,False,nexsci
321,HD 148164 c,,,,1.15,5.16,161.0,136.0,3.985,5062.0,,6.9,77.2,6032.0,4.16,False,nexsci
928,OGLE-2015-BLG-1670L b,,,,0.39,0.0563,,,2.9539999999999997,,,20.3,6700.0,,,False,nexsci
367,HD 167042 b,,,,1.2,1.7,519.0,436.0,3.466,420.77,,3.5,49.66,5010.0,3.29,False,nexsci
245,HD 109246 b,,,,1.24,0.86,603.0,507.0,3.142,68.27,,7.2,67.83,5844.0,4.46,False,nexsci
27,HD 141399 c,,,,1.22,1.33,456.0,384.0,3.345,201.99,,5.5,37.02,5600.0,4.28,False,nexsci
303,HD 141937 b,,,,1.11,9.69,279.0,235.0,4.29,653.22,,5.8,33.36,5870.0,4.45,False,nexsci
481,HD 25171 b,,,,1.24,0.915,226.0,190.0,3.1689999999999996,1802.29,,6.5,55.61,6125.0,4.26,False,nexsci
672,HIP 97233 b,,,,1.08,20.0,417.0,350.0,4.628,1058.8,,5.1,102.28,5020.0,3.26,False,nexsci
308,HD 142 b,,,,1.22,1.25,430.0,362.0,3.318,349.7,,4.5,26.19,6245.0,4.62,False,nexsci
263,HD 117618 b,,,,0.77,0.174,887.0,746.0,2.866,25.8,,5.7,37.78,5990.0,4.41,False,nexsci
230,HD 102956 b,,,,1.23,0.96,2146.0,1805.0,3.197,6.4947,,5.7,121.89,4985.0,3.38,False,nexsci
91,47 UMa c,,,,1.27,0.54,195.0,164.0,2.9189999999999996,2391.0,,3.8,13.8,5872.0,4.3,False,nexsci
1096,CD Cet b,,,,0.16,0.01243,544.0,458.0,3.07,2.2907,,7.8,8.61,3130.0,4.93,False,nexsci
193,GJ 832 b,,,,1.25,0.68,70.0,59.0,3.033,3657.0,,4.5,4.96,3472.0,4.7,False,nexsci
312,HD 145457 b,,,,1.19,2.23,1017.0,856.0,3.591,176.3,,4.1,135.29,4769.0,2.48,False,nexsci
903,KMT-2019-BLG-0371L b,,,,1.13,7.7,,,4.175,,,,7010.0,,,False,nexsci
389,HD 180314 b,,,,1.08,20.13,666.0,560.0,4.631,396.03,,4.3,122.36,4924.0,2.96,False,nexsci
643,HD 92788 b,,,,1.16,3.76,357.0,300.0,3.84,325.803,,5.7,34.65,5744.0,4.39,False,nexsci
181,GJ 536 b,,,,0.19,0.01686,579.0,487.0,3.045,8.7076,,5.7,10.41,3685.0,4.75,False,nexsci
353,HD 162020 b,,,,1.11,9.84,829.0,697.0,4.297,8.4282,,6.5,30.82,4723.0,4.31,False,nexsci
1073,KIC 10068024 b,,,,1.19,2.0,,,3.5439999999999996,2.0735,,11.8,721.11,6118.0,4.09,False,nexsci
300,HD 139357 b,,,,1.11,9.76,594.0,500.0,4.293,1125.7,,3.4,112.09,4700.0,2.9,False,nexsci
55,HD 41004 A b,,,,1.18,2.54,,,3.655,963.0,,6.4,36.69,5310.0,4.37,False,nexsci
738,OGLE-2005-BLG-390L b,,,,0.2,0.017,,50.0,3.036,3285.0,,,6600.0,,,False,nexsci
255,HD 114783 b,,,,1.23,1.1,251.0,211.0,3.2560000000000002,493.7,,5.5,21.06,5135.0,4.53,False,nexsci
1075,COCONUTS-2 b,,,,1.11,6.3,1.0,1.0,4.103,402000000.0,,6.6,10.89,3406.0,4.83,False,nexsci
1102,HD 39194 d,,,,0.16,0.01259,613.0,515.0,3.07,33.91,,6.1,26.41,5205.0,4.53,False,nexsci
1098,HD 39194 b,,,,0.16,0.01259,1114.0,937.0,3.07,5.6368,,6.1,26.41,5205.0,4.53,False,nexsci
675,HIP 57274 c,0.0,0.084,1.6780000000000002,1.27,0.40902,520.0,437.0,2.798,32.03,5.88,6.3,25.86,4640.0,4.71,False,nexsci
1024,HD 13808 c,,,,0.28,0.03134,505.0,424.0,2.9989999999999997,53.753,,6.3,28.23,5035.0,4.58,False,nexsci
536,HD 38529 b,,,,1.24,0.797,1413.0,1188.0,3.109,14.3094,,4.2,42.35,5541.0,3.77,False,nexsci
497,HD 28678 b,,,,1.21,1.5419999999999998,668.0,562.0,3.417,380.2,,5.8,189.91,4972.0,3.06,False,nexsci
130,61 Vir c,,,,0.4,0.057,672.0,565.0,2.95,38.021,,3.0,8.5,5577.0,4.34,False,nexsci
168,GJ 1132 c,,,,0.13,0.00831,394.0,331.0,3.0989999999999998,8.929,,8.3,12.61,3270.0,5.02,False,nexsci
1058,HD 26161 b,,,,1.1,13.5,93.0,78.0,4.442,32000.0,,5.5,40.91,6058.0,4.16,False,nexsci
405,HD 190360 b,,,,1.21,1.54,171.0,143.0,3.4160000000000004,2915.0369,,4.1,16.01,5552.0,4.32,False,nexsci
