,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
2600,Kepler-80 b,0.0,0.001,0.013999999999999999,0.24,0.0218,843.0,709.0,2.98,7.0525,2.3982,12.3,369.45,4540.0,4.64,True,nexsci
706,Kepler-112 b,0.0,0.001,0.011000000000000001,0.21,0.0194,1057.0,889.0,3.033,8.4089,3.4928,12.2,513.21,5544.0,4.51,True,nexsci
3501,Kepler-1776 b,0.0,0.0,0.004,0.23,0.023,784.0,659.0,3.0210000000000004,35.0119,2.8680000000000003,12.3,690.34,5872.0,4.33,True,nexsci
1400,Kepler-166 c,0.0,0.0,0.006999999999999999,0.21,0.0197,605.0,508.0,3.036,34.2603,4.7968,12.9,603.53,5413.0,4.62,True,nexsci
3121,TOI-216.01,0.0,0.009000000000000001,0.063,1.01,0.62927,581.0,488.0,3.187,34.556,5.513999999999999,10.2,177.94,5026.0,4.66,True,nexsci
359,K2-239 c,0.0,0.0,0.022000000000000002,0.09,0.0030600000000000002,490.0,412.0,2.9810000000000003,7.775,1.248,10.0,31.08,3420.0,4.9,True,nexsci
2462,Kepler-698 b,0.0,0.001,0.009000000000000001,0.33,0.0413,867.0,729.0,2.978,16.3298,6.271,13.8,1995.57,5612.0,4.5,True,nexsci
2271,Kepler-54 d,0.0,0.0,0.005,0.14,0.0093,509.0,428.0,3.096,20.9957,2.8099,12.6,271.7,4252.0,4.73,True,nexsci
920,Kepler-1292 b,0.0,0.0,0.003,0.16,0.0125,1460.0,1228.0,3.072,3.2765,2.272,14.2,1493.43,5556.0,4.49,True,nexsci
1708,Kepler-26 b,0.0,0.0,0.022000000000000002,0.25,0.01611,548.0,461.0,2.812,12.28,2.7096,12.6,335.31,3914.0,4.68,True,nexsci
2082,Kepler-40 b,0.02,0.015,0.004,1.17,2.2,1926.0,1620.0,3.6,6.8735,6.8593,13.3,2305.01,6510.0,3.94,True,nexsci
580,Kepler-1038 b,0.0,0.0,0.006999999999999999,0.32,0.0384,385.0,324.0,2.9819999999999998,148.4603,5.402,12.8,584.14,5335.0,4.55,True,nexsci
1589,Kepler-228 c,0.001,0.001,0.005,0.24,0.0244,1527.0,1284.0,3.0180000000000002,4.1344,3.1797,14.1,1644.61,6043.0,4.47,True,nexsci
3538,Kepler-1786 b,0.0,0.0,0.005,0.28,0.0319,651.0,548.0,2.998,78.5461,8.684,12.6,863.91,5808.0,4.17,True,nexsci
3578,Kepler-1884 b,0.0,0.0,0.004,0.16,0.0124,1126.0,947.0,3.069,8.9883,4.65,13.6,1443.09,5984.0,4.52,True,nexsci
2072,Kepler-404 b,0.0,0.0,0.002,0.11,0.00678,952.0,801.0,3.1189999999999998,11.8299,3.3369999999999997,13.5,812.52,5654.0,4.54,True,nexsci
3281,HIP 65 A b,1.7830000000000001,1.544,0.364,2.03,3.213,1673.0,1407.0,3.286,0.981,0.7858,8.3,61.79,4590.0,4.61,True,nexsci
2431,Kepler-670 b,0.033,0.036000000000000004,,1.18,,1664.0,1400.0,,2.8165,2.5052,13.3,939.74,5709.0,4.44,True,nexsci
1806,Kepler-302 c,0.0,0.0,,1.11,,513.0,431.0,,127.2822,7.1545,13.9,1402.58,5740.0,4.29,True,nexsci
637,Kepler-107 b,0.001,0.001,0.005,0.14,0.011040000000000001,1896.0,1595.0,3.1639999999999997,3.18,3.633,11.1,526.0,5854.0,4.21,True,nexsci
3697,Kepler-1830 b,0.0,0.0,0.004,0.3,0.0348,886.0,745.0,2.99,56.4933,8.472999999999999,12.3,1056.88,6160.0,3.98,True,nexsci
53,CoRoT-7 b,0.01,0.005,0.02,0.15,0.012830000000000001,2113.0,1777.0,3.15,0.8536,1.0590000000000002,9.8,159.91,5275.0,4.5,True,nexsci
459,K2-59 b,0.0,0.0,0.01,0.21,0.0201,673.0,566.0,3.033,20.6921,2.76,11.8,311.31,5055.0,4.59,True,nexsci
1761,Kepler-288 c,0.0,0.0,0.004,0.25,0.0267,947.0,796.0,3.011,19.3058,4.2752,13.6,1194.15,5918.0,4.35,True,nexsci
3623,Kepler-1820 b,0.0,0.0,0.004,0.28,0.0312,729.0,613.0,3.0,31.0325,3.403,14.1,1425.39,5841.0,4.52,True,nexsci
1006,Kepler-1358 b,0.0,0.0,0.004,0.1,0.0045899999999999995,1031.0,867.0,3.056,7.0632,2.261,12.7,547.0,5181.0,4.57,True,nexsci
2712,Kepler-894 b,0.0,0.001,0.006,0.25,0.0256,979.0,823.0,3.014,9.8032,4.4617,13.8,1162.91,5603.0,4.53,True,nexsci
2459,Kepler-695 b,0.009000000000000001,0.02,0.048,0.82,0.196,1374.0,1155.0,2.8569999999999998,3.0403,1.8394,12.9,842.95,5181.0,4.57,True,nexsci
3205,GJ 3473 b,0.0,0.005,0.065,0.11,0.00585,914.0,768.0,3.055,1.198,0.95,8.8,27.36,3347.0,4.81,True,nexsci
